sample_id,latitude,longitude,prismatic,ldr,bdr,lbr,froude,residuary_resistance
0,0,-2.3,0.568,4.78,3.99,3.17,0.125,0.11
1,0,-2.3,0.568,4.78,3.99,3.17,0.15,0.27
2,0,-2.3,0.568,4.78,3.99,3.17,0.175,0.47
3,0,-2.3,0.568,4.78,3.99,3.17,0.2,0.78
4,0,-2.3,0.568,4.78,3.99,3.17,0.225,1.18
5,0,-2.3,0.568,4.78,3.99,3.17,0.25,1.82
6,0,-2.3,0.568,4.78,3.99,3.17,0.275,2.61
7,0,-2.3,0.568,4.78,3.99,3.17,0.3,3.76
8,0,-2.3,0.568,4.78,3.99,3.17,0.325,4.99
9,0,-2.3,0.568,4.78,3.99,3.17,0.35,7.16
10,0,-2.3,0.568,4.78,3.99,3.17,0.375,11.93
11,0,-2.3,0.568,4.78,3.99,3.17,0.4,20.11
12,0,-2.3,0.568,4.78,3.99,3.17,0.425,32.75
13,0,-2.3,0.568,4.78,3.99,3.17,0.45,49.49
14,0,-2.3,0.569,4.78,3.04,3.64,0.125,0.04
15,0,-2.3,0.569,4.78,3.04,3.64,0.15,0.17
16,0,-2.3,0.569,4.78,3.04,3.64,0.175,0.37
17,0,-2.3,0.569,4.78,3.04,3.64,0.2,0.66
18,0,-2.3,0.569,4.78,3.04,3.64,0.225,1.06
19,0,-2.3,0.569,4.78,3.04,3.64,0.25,1.59
20,0,-2.3,0.569,4.78,3.04,3.64,0.275,2.33
21,0,-2.3,0.569,4.78,3.04,3.64,0.3,3.29
22,0,-2.3,0.569,4.78,3.04,3.64,0.325,4.61
23,0,-2.3,0.569,4.78,3.04,3.64,0.35,7.11
24,0,-2.3,0.569,4.78,3.04,3.64,0.375,11.99
25,0,-2.3,0.569,4.78,3.04,3.64,0.4,21.09
26,0,-2.3,0.569,4.78,3.04,3.64,0.425,35.01
27,0,-2.3,0.569,4.78,3.04,3.64,0.45,51.8
28,0,-2.3,0.565,4.78,5.35,2.76,0.125,0.09
29,0,-2.3,0.565,4.78,5.35,2.76,0.15,0.29
30,0,-2.3,0.565,4.78,5.35,2.76,0.175,0.56
31,0,-2.3,0.565,4.78,5.35,2.76,0.2,0.86
32,0,-2.3,0.565,4.78,5.35,2.76,0.225,1.31
33,0,-2.3,0.565,4.78,5.35,2.76,0.25,1.99
34,0,-2.3,0.565,4.78,5.35,2.76,0.275,2.94
35,0,-2.3,0.565,4.78,5.35,2.76,0.3,4.21
